hsa00010 KEGG_GLYCOLYSIS_GLUCONEOGENESIS
hsa00020 KEGG_CITRATE_CYCLE_TCA_CYCLE
hsa00030 KEGG_PENTOSE_PHOSPHATE_PATHWAY
hsa00040 KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
hsa00051 KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM
hsa00052 KEGG_GALACTOSE_METABOLISM
hsa00053 KEGG_ASCORBATE_AND_ALDARATE_METABOLISM
hsa00100 KEGG_STEROID_BIOSYNTHESIS
hsa00120 KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS
hsa00140 KEGG_STEROID_HORMONE_BIOSYNTHESIS
hsa00190 KEGG_OXIDATIVE_PHOSPHORYLATION
hsa00230 KEGG_PURINE_METABOLISM
hsa00240 KEGG_PYRIMIDINE_METABOLISM
hsa00250 KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM
hsa00260 KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM
hsa00270 KEGG_CYSTEINE_AND_METHIONINE_METABOLISM
hsa00280 KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
hsa00290 KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS
hsa00310 KEGG_LYSINE_DEGRADATION
hsa00330 KEGG_ARGININE_AND_PROLINE_METABOLISM
hsa00340 KEGG_HISTIDINE_METABOLISM
hsa00350 KEGG_TYROSINE_METABOLISM
hsa00360 KEGG_PHENYLALANINE_METABOLISM
hsa00380 KEGG_TRYPTOPHAN_METABOLISM
hsa00410 KEGG_BETA_ALANINE_METABOLISM
hsa00430 KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM
hsa00480 KEGG_GLUTATHIONE_METABOLISM
hsa00500 KEGG_STARCH_AND_SUCROSE_METABOLISM
hsa00510 KEGG_N_GLYCAN_BIOSYNTHESIS
hsa00511 KEGG_OTHER_GLYCAN_DEGRADATION
hsa00520 KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM
hsa00531 KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
hsa00532 KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE
hsa00533 KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE
hsa00534 KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE
hsa00561 KEGG_GLYCEROLIPID_METABOLISM
hsa00562 KEGG_INOSITOL_PHOSPHATE_METABOLISM
hsa00563 KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS
hsa00564 KEGG_GLYCEROPHOSPHOLIPID_METABOLISM
hsa00565 KEGG_ETHER_LIPID_METABOLISM
hsa00590 KEGG_ARACHIDONIC_ACID_METABOLISM
hsa00591 KEGG_LINOLEIC_ACID_METABOLISM
hsa00592 KEGG_ALPHA_LINOLENIC_ACID_METABOLISM
hsa00600 KEGG_SPHINGOLIPID_METABOLISM
hsa00601 KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES
hsa00603 KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES
hsa00604 KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES
hsa00620 KEGG_PYRUVATE_METABOLISM
hsa00630 KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM
hsa00640 KEGG_PROPANOATE_METABOLISM
hsa00650 KEGG_BUTANOATE_METABOLISM
hsa00670 KEGG_ONE_CARBON_POOL_BY_FOLATE
hsa00740 KEGG_RIBOFLAVIN_METABOLISM
hsa00760 KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM
hsa00770 KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS
hsa00790 KEGG_FOLATE_BIOSYNTHESIS
hsa00830 KEGG_RETINOL_METABOLISM
hsa00900 KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS
hsa00910 KEGG_NITROGEN_METABOLISM
hsa00920 KEGG_SULFUR_METABOLISM
hsa00980 KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450
hsa00982 KEGG_DRUG_METABOLISM_CYTOCHROME_P450
hsa00983 KEGG_DRUG_METABOLISM_OTHER_ENZYMES
hsa01040 KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS
hsa01212 KEGG_FATTY_ACID_METABOLISM
